Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID	Gene name	HGNC symbol
ENSG00000210191	ENSG00000210191.1		MT-TL2	MT-TL2
ENSG00000198786	ENSG00000198786.2	4540	MT-ND5	MT-ND5
ENSG00000198695	ENSG00000198695.2	4541	MT-ND6	MT-ND6
ENSG00000210194	ENSG00000210194.1		MT-TE	MT-TE
ENSG00000198727	ENSG00000198727.2	4519	MT-CYB	MT-CYB
ENSG00000210195	ENSG00000210195.2		MT-TT	MT-TT
ENSG00000210196	ENSG00000210196.2		MT-TP	MT-TP
ENSG00000223972	ENSG00000223972.5	84771	DDX11L1	DDX11L1
ENSG00000223972	ENSG00000223972.5	727856	DDX11L1	DDX11L1
ENSG00000223972	ENSG00000223972.5	100287102	DDX11L1	DDX11L1
ENSG00000223972	ENSG00000223972.5	100287596	DDX11L1	DDX11L1
ENSG00000223972	ENSG00000223972.5	102725121	DDX11L1	DDX11L1
ENSG00000227232	ENSG00000227232.5	653635	WASH7P	WASH7P
ENSG00000278267	ENSG00000278267.1	102466751	MIR6859-1	MIR6859-1
ENSG00000243485	ENSG00000243485.5		MIR1302-2HG	MIR1302-2HG
ENSG00000284332	ENSG00000284332.1	100302278	MIR1302-2	MIR1302-2
ENSG00000237613	ENSG00000237613.2	645520	FAM138A	FAM138A
ENSG00000268020	ENSG00000268020.3		OR4G4P	OR4G4P
ENSG00000240361	ENSG00000240361.2		OR4G11P	OR4G11P
ENSG00000186092	ENSG00000186092.6	79501	OR4F5	OR4F5
ENSG00000238009	ENSG00000238009.6		AL627309.1	
ENSG00000239945	ENSG00000239945.1		AL627309.3	
ENSG00000233750	ENSG00000233750.3		CICP27	CICP27
ENSG00000268903	ENSG00000268903.1		AL627309.6	
ENSG00000269981	ENSG00000269981.1		AL627309.7	
ENSG00000239906	ENSG00000239906.1		AL627309.2	
ENSG00000241860	ENSG00000241860.7		AL627309.5	
ENSG00000222623	ENSG00000222623.1		RNU6-1100P	RNU6-1100P
ENSG00000241599	ENSG00000241599.1		AL627309.4	
ENSG00000279928	ENSG00000279928.2		FO538757.1	
ENSG00000279457	ENSG00000279457.4	102723897	WASH9P	WASH9P
ENSG00000273874	ENSG00000273874.1	102465909	MIR6859-2	MIR6859-2
ENSG00000228463	ENSG00000228463.10		AP006222.1	
ENSG00000286448	ENSG00000286448.1		AP006222.2	
ENSG00000236679	ENSG00000236679.2		RPL23AP24	RPL23AP24
ENSG00000236601	ENSG00000236601.2		AL732372.1	
ENSG00000237094	ENSG00000237094.12		AL732372.2	
ENSG00000269732	ENSG00000269732.1		WBP1LP7	WBP1LP7
ENSG00000284733	ENSG00000284733.1	729759	OR4F29	OR4F29
ENSG00000233653	ENSG00000233653.3		CICP7	CICP7
ENSG00000250575	ENSG00000250575.1		AL732372.3	
ENSG00000278757	ENSG00000278757.1		U6	
ENSG00000230021	ENSG00000230021.10	101928626	AL669831.3	
ENSG00000235146	ENSG00000235146.2		AC114498.1	
ENSG00000225972	ENSG00000225972.1		MTND1P23	MTND1P23
ENSG00000225630	ENSG00000225630.1		MTND2P28	MTND2P28
ENSG00000237973	ENSG00000237973.1		MTCO1P12	MTCO1P12
ENSG00000278791	ENSG00000278791.1		AC114498.2	
ENSG00000229344	ENSG00000229344.1		MTCO2P12	MTCO2P12
ENSG00000240409	ENSG00000240409.1		MTATP8P1	MTATP8P1
ENSG00000248527	ENSG00000248527.1		MTATP6P1	MTATP6P1
ENSG00000198744	ENSG00000198744.5		MTCO3P12	MTCO3P12
ENSG00000268663	ENSG00000268663.1		WBP1LP6	WBP1LP6
ENSG00000284662	ENSG00000284662.1	81399	OR4F16	OR4F16
ENSG00000229376	ENSG00000229376.3		CICP3	CICP3
ENSG00000228327	ENSG00000228327.3		AL669831.1	
ENSG00000223181	ENSG00000223181.1		RNU6-1199P	RNU6-1199P
ENSG00000229905	ENSG00000229905.1		AL669831.2	
ENSG00000237491	ENSG00000237491.10	105378580	LINC01409	LINC01409
ENSG00000285268	ENSG00000285268.1		AL669831.6	
ENSG00000230092	ENSG00000230092.7		AL669831.4	
ENSG00000177757	ENSG00000177757.2	400728	FAM87B	FAM87B
ENSG00000228794	ENSG00000228794.10	643837	LINC01128	LINC01128
ENSG00000225880	ENSG00000225880.5	79854	LINC00115	LINC00115
ENSG00000288531	ENSG00000288531.1	107984850	AL669831.7	
ENSG00000230368	ENSG00000230368.2	284593	FAM41C	FAM41C
ENSG00000234711	ENSG00000234711.1		TUBB8P11	TUBB8P11
ENSG00000283040	ENSG00000283040.1		AL669831.5	
ENSG00000272438	ENSG00000272438.1		AL645608.6	
ENSG00000230699	ENSG00000230699.2		AL645608.2	
ENSG00000241180	ENSG00000241180.1		AL645608.4	
ENSG00000223764	ENSG00000223764.2	100130417	LINC02593	LINC02593
ENSG00000187634	ENSG00000187634.12	148398	SAMD11	SAMD11
ENSG00000188976	ENSG00000188976.11	26155	NOC2L	NOC2L
ENSG00000187961	ENSG00000187961.14	339451	KLHL17	KLHL17
ENSG00000187583	ENSG00000187583.11	84069	PLEKHN1	PLEKHN1
ENSG00000187642	ENSG00000187642.9	84808	PERM1	PERM1
ENSG00000272512	ENSG00000272512.1		AL645608.7	
ENSG00000188290	ENSG00000188290.11	57801	HES4	HES4
ENSG00000187608	ENSG00000187608.10	9636	ISG15	ISG15
ENSG00000231702	ENSG00000231702.2		AL645608.3	
ENSG00000224969	ENSG00000224969.1		AL645608.1	
ENSG00000188157	ENSG00000188157.15	375790	AGRN	AGRN
ENSG00000242590	ENSG00000242590.1		AL645608.5	
ENSG00000217801	ENSG00000217801.10	100288175	AL390719.1	
ENSG00000273443	ENSG00000273443.1		AL645608.8	
ENSG00000237330	ENSG00000237330.3	401934	RNF223	RNF223
ENSG00000131591	ENSG00000131591.17	54991	C1orf159	C1orf159
ENSG00000285812	ENSG00000285812.1		AL390719.3	
ENSG00000223823	ENSG00000223823.1	254099	LINC01342	LINC01342
ENSG00000207730	ENSG00000207730.3	406984	MIR200B	MIR200B
ENSG00000207607	ENSG00000207607.3	406983	MIR200A	MIR200A
ENSG00000198976	ENSG00000198976.1	554210	MIR429	MIR429
ENSG00000272141	ENSG00000272141.1		AL390719.2	
ENSG00000205231	ENSG00000205231.1	100506376	TTLL10-AS1	TTLL10-AS1
ENSG00000162571	ENSG00000162571.14	254173	TTLL10	TTLL10
ENSG00000186891	ENSG00000186891.14	8784	TNFRSF18	TNFRSF18
ENSG00000186827	ENSG00000186827.11	7293	TNFRSF4	TNFRSF4
ENSG00000078808	ENSG00000078808.18	51150	SDF4	SDF4
ENSG00000176022	ENSG00000176022.7	126792	B3GALT6	B3GALT6
ENSG00000184163	ENSG00000184163.3	388581	C1QTNF12	C1QTNF12
ENSG00000260179	ENSG00000260179.1		AL162741.1	
ENSG00000160087	ENSG00000160087.21	118424	UBE2J2	UBE2J2
ENSG00000230415	ENSG00000230415.1		LINC01786	LINC01786
ENSG00000162572	ENSG00000162572.21	6339	SCNN1D	SCNN1D
ENSG00000131584	ENSG00000131584.19	116983	ACAP3	ACAP3
ENSG00000278073	ENSG00000278073.1	102465434	MIR6726	MIR6726
ENSG00000169972	ENSG00000169972.12	126789	PUSL1	PUSL1
ENSG00000127054	ENSG00000127054.21	54973	INTS11	INTS11
ENSG00000283712	ENSG00000283712.1	102465435	MIR6727	MIR6727
ENSG00000240731	ENSG00000240731.1		AL139287.1	
ENSG00000224051	ENSG00000224051.7	80772	CPTP	CPTP
ENSG00000169962	ENSG00000169962.5	83756	TAS1R3	TAS1R3
ENSG00000107404	ENSG00000107404.20	1855	DVL1	DVL1
ENSG00000284372	ENSG00000284372.1	102466740	MIR6808	MIR6808
ENSG00000162576	ENSG00000162576.17	54587	MXRA8	MXRA8
ENSG00000175756	ENSG00000175756.13	54998	AURKAIP1	AURKAIP1
ENSG00000223663	ENSG00000223663.2		NDUFB4P8	NDUFB4P8
ENSG00000221978	ENSG00000221978.12	81669	CCNL2	CCNL2
ENSG00000224870	ENSG00000224870.7	148413	MRPL20-AS1	MRPL20-AS1
ENSG00000242485	ENSG00000242485.6	55052	MRPL20	MRPL20
ENSG00000264293	ENSG00000264293.2		RN7SL657P	RN7SL657P
ENSG00000272455	ENSG00000272455.1		MRPL20-DT	MRPL20-DT
ENSG00000235098	ENSG00000235098.8	441869	ANKRD65	ANKRD65
ENSG00000225905	ENSG00000225905.1		AL391244.1	
ENSG00000205116	ENSG00000205116.3	643965	TMEM88B	TMEM88B
ENSG00000225285	ENSG00000225285.1		LINC01770	LINC01770
ENSG00000179403	ENSG00000179403.12	64856	VWA1	VWA1
ENSG00000215915	ENSG00000215915.10	219293	ATAD3C	ATAD3C
ENSG00000160072	ENSG00000160072.20	83858	ATAD3B	ATAD3B
ENSG00000284740	ENSG00000284740.1		AL645728.2	
ENSG00000197785	ENSG00000197785.14	55210	ATAD3A	ATAD3A
ENSG00000205090	ENSG00000205090.9	339453	TMEM240	TMEM240
ENSG00000160075	ENSG00000160075.12	29101	SSU72	SSU72
ENSG00000215014	ENSG00000215014.5		AL645728.1	
ENSG00000274481	ENSG00000274481.1		AL691432.3	
ENSG00000228594	ENSG00000228594.4	643988	FNDC10	FNDC10
ENSG00000286989	ENSG00000286989.1		AL691432.4	
ENSG00000272106	ENSG00000272106.1		AL691432.2	
ENSG00000197530	ENSG00000197530.12	142678	MIB2	MIB2
ENSG00000189409	ENSG00000189409.14	8510	MMP23B	MMP23B
ENSG00000248333	ENSG00000248333.8	984	CDK11B	CDK11B
ENSG00000272004	ENSG00000272004.1		FO704657.1	
ENSG00000189339	ENSG00000189339.12	728661	SLC35E2B	SLC35E2B
ENSG00000269737	ENSG00000269737.2		AL691432.1	
ENSG00000215914	ENSG00000215914.4		MMP23A	MMP23A
ENSG00000008128	ENSG00000008128.23	728642	CDK11A	CDK11A
ENSG00000268575	ENSG00000268575.1		AL031282.2	
ENSG00000227775	ENSG00000227775.3		AL031282.1	
ENSG00000215790	ENSG00000215790.7	9906	SLC35E2A	SLC35E2A
ENSG00000008130	ENSG00000008130.15	65220	NADK	NADK
ENSG00000078369	ENSG00000078369.18	2782	GNB1	GNB1
ENSG00000231050	ENSG00000231050.1		AL109917.1	
ENSG00000169885	ENSG00000169885.10	163688	CALML6	CALML6
ENSG00000178821	ENSG00000178821.13	339456	TMEM52	TMEM52
ENSG00000142609	ENSG00000142609.18	85452	CFAP74	CFAP74
ENSG00000233542	ENSG00000233542.2		AL391845.2	
ENSG00000187730	ENSG00000187730.9	2563	GABRD	GABRD
ENSG00000226969	ENSG00000226969.1		AL391845.1	
ENSG00000067606	ENSG00000067606.17	5590	PRKCZ	PRKCZ
ENSG00000271806	ENSG00000271806.1		AL590822.2	
ENSG00000182873	ENSG00000182873.5	100506504	PRKCZ-AS1	PRKCZ-AS1
ENSG00000162585	ENSG00000162585.17	199990	FAAP20	FAAP20
ENSG00000234396	ENSG00000234396.3		AL590822.1	
ENSG00000157933	ENSG00000157933.10	6497	SKI	SKI
ENSG00000287356	ENSG00000287356.1		AL590822.3	
ENSG00000116151	ENSG00000116151.14	79906	MORN1	MORN1
ENSG00000272161	ENSG00000272161.1		AL589739.1	
ENSG00000269896	ENSG00000269896.2	100129534	AL513477.1	
ENSG00000272420	ENSG00000272420.1		AL513477.2	
ENSG00000157916	ENSG00000157916.20	11079	RER1	RER1
ENSG00000157911	ENSG00000157911.11	5192	PEX10	PEX10
ENSG00000149527	ENSG00000149527.18	9651	PLCH2	PLCH2
ENSG00000224387	ENSG00000224387.1		AL139246.1	
ENSG00000229393	ENSG00000229393.1		AL139246.4	
ENSG00000157881	ENSG00000157881.16	55229	PANK4	PANK4
ENSG00000197921	ENSG00000197921.6	388585	HES5	HES5
ENSG00000272449	ENSG00000272449.2		AL139246.5	
ENSG00000238164	ENSG00000238164.6		TNFRSF14-AS1	TNFRSF14-AS1
ENSG00000157873	ENSG00000157873.17	8764	TNFRSF14	TNFRSF14
ENSG00000225931	ENSG00000225931.3		AL139246.2	
ENSG00000228037	ENSG00000228037.1		AL139246.3	
ENSG00000157870	ENSG00000157870.17	127281	PRXL2B	PRXL2B
ENSG00000142606	ENSG00000142606.16	79258	MMEL1	MMEL1
ENSG00000237058	ENSG00000237058.1		MMEL1-AS1	MMEL1-AS1
ENSG00000215912	ENSG00000215912.12	100287898	TTC34	TTC34
ENSG00000285945	ENSG00000285945.1		AC242022.2	
ENSG00000283259	ENSG00000283259.1		AC242022.1	
ENSG00000233234	ENSG00000233234.1		AL592464.2	
ENSG00000287396	ENSG00000287396.1		AL592464.3	
ENSG00000231630	ENSG00000231630.1		AL592464.1	
ENSG00000284745	ENSG00000284745.1		AL589702.1	
ENSG00000169717	ENSG00000169717.7	140625	ACTRT2	ACTRT2
ENSG00000177133	ENSG00000177133.11	440556	PRDM16-DT	PRDM16-DT
ENSG00000142611	ENSG00000142611.17	63976	PRDM16	PRDM16
ENSG00000283572	ENSG00000283572.1	100422968	MIR4251	MIR4251
ENSG00000226286	ENSG00000226286.1		AL008733.1	
ENSG00000279839	ENSG00000279839.1		AL512383.1	
ENSG00000272235	ENSG00000272235.1		AL590438.1	
ENSG00000287828	ENSG00000287828.1		AL354743.2	
ENSG00000286518	ENSG00000286518.1		AL354743.1	
ENSG00000130762	ENSG00000130762.15	27237	ARHGEF16	ARHGEF16
ENSG00000272088	ENSG00000272088.1		AL512413.1	
ENSG00000162591	ENSG00000162591.16	1953	MEGF6	MEGF6
ENSG00000207776	ENSG00000207776.1	693135	MIR551A	MIR551A
ENSG00000238260	ENSG00000238260.1		AL513320.1	
ENSG00000158109	ENSG00000158109.15	127262	TPRG1L	TPRG1L
ENSG00000116213	ENSG00000116213.16	49856	WRAP73	WRAP73
ENSG00000078900	ENSG00000078900.15	7161	TP73	TP73
ENSG00000227589	ENSG00000227589.1		AL136528.1	
ENSG00000235131	ENSG00000235131.1		TP73-AS2	TP73-AS2
ENSG00000227372	ENSG00000227372.12	57212	TP73-AS1	TP73-AS1
ENSG00000276189	ENSG00000276189.1		AL136528.2	
ENSG00000162592	ENSG00000162592.10	148870	CCDC27	CCDC27
ENSG00000235169	ENSG00000235169.10	388588	SMIM1	SMIM1
ENSG00000130764	ENSG00000130764.10	57470	LRRC47	LRRC47
ENSG00000266075	ENSG00000266075.2		RN7SL574P	RN7SL574P
ENSG00000272153	ENSG00000272153.1		AL365330.1	
ENSG00000116198	ENSG00000116198.14	9731	CEP104	CEP104
ENSG00000169598	ENSG00000169598.17	1677	DFFB	DFFB
ENSG00000198912	ENSG00000198912.11	339448	C1orf174	C1orf174
ENSG00000236423	ENSG00000236423.6	100133612	LINC01134	LINC01134
ENSG00000233304	ENSG00000233304.7		LINC01346	LINC01346
ENSG00000226374	ENSG00000226374.3	105376672	LINC01345	LINC01345
ENSG00000284668	ENSG00000284668.2	105376673	LINC02780	LINC02780
ENSG00000284703	ENSG00000284703.1		AL805961.1	
ENSG00000229280	ENSG00000229280.1		EEF1DP6	EEF1DP6
ENSG00000235054	ENSG00000235054.4	284661	LINC01777	LINC01777
ENSG00000284694	ENSG00000284694.1		AL355602.1	
ENSG00000227169	ENSG00000227169.2		Z98747.1	
ENSG00000232596	ENSG00000232596.3		LINC01646	LINC01646
ENSG00000196581	ENSG00000196581.11	55966	AJAP1	AJAP1
ENSG00000287586	ENSG00000287586.1		Z98886.1	
ENSG00000284739	ENSG00000284739.1		BX005132.1	
ENSG00000284674	ENSG00000284674.1	105376680	LINC02781	LINC02781
ENSG00000231510	ENSG00000231510.1		LINC02782	LINC02782
ENSG00000284616	ENSG00000284616.1		AL139823.1	
ENSG00000284692	ENSG00000284692.2		Z98259.3	
ENSG00000284666	ENSG00000284666.1		Z98259.2	
ENSG00000260972	ENSG00000260972.1		Z98259.1	
ENSG00000283356	ENSG00000283356.1		Z97988.2	
ENSG00000236948	ENSG00000236948.2		AL365255.1	
ENSG00000264341	ENSG00000264341.1		Z97988.1	
ENSG00000264101	ENSG00000264101.1	100616421	MIR4689	MIR4689
ENSG00000131697	ENSG00000131697.18	261734	NPHP4	NPHP4
ENSG00000069424	ENSG00000069424.15	8514	KCNAB2	KCNAB2
ENSG00000116254	ENSG00000116254.18	26038	CHD5	CHD5
ENSG00000285629	ENSG00000285629.1		AL031847.1	
ENSG00000116251	ENSG00000116251.11	6146	RPL22	RPL22
ENSG00000226944	ENSG00000226944.1	102724450	RNF207-AS1	RNF207-AS1
ENSG00000158286	ENSG00000158286.13	388591	RNF207	RNF207
ENSG00000116237	ENSG00000116237.16	23463	ICMT	ICMT
ENSG00000225077	ENSG00000225077.3		LINC00337	LINC00337
ENSG00000173673	ENSG00000173673.8	390992	HES3	HES3
ENSG00000158292	ENSG00000158292.7	387509	GPR153	GPR153
ENSG00000097021	ENSG00000097021.19	11332	ACOT7	ACOT7
ENSG00000271746	ENSG00000271746.1		AL031848.2	
ENSG00000069812	ENSG00000069812.11	54626	HES2	HES2
ENSG00000187017	ENSG00000187017.17	83715	ESPN	ESPN
ENSG00000265392	ENSG00000265392.1	100422975	MIR4252	MIR4252
ENSG00000231868	ENSG00000231868.1		AL031848.1	
ENSG00000215788	ENSG00000215788.11	8718	TNFRSF25	TNFRSF25
ENSG00000171680	ENSG00000171680.23	57449	PLEKHG5	PLEKHG5
ENSG00000162408	ENSG00000162408.11	79707	NOL9	NOL9
ENSG00000253022	ENSG00000253022.1		RNU6-731P	RNU6-731P
ENSG00000229519	ENSG00000229519.2		AL591866.1	
ENSG00000173662	ENSG00000173662.21	80835	TAS1R1	TAS1R1
ENSG00000204859	ENSG00000204859.13	3104	ZBTB48	ZBTB48
ENSG00000162413	ENSG00000162413.16	9903	KLHL21	KLHL21
ENSG00000116273	ENSG00000116273.6	148479	PHF13	PHF13
ENSG00000041988	ENSG00000041988.15	90326	THAP3	THAP3
ENSG00000007923	ENSG00000007923.16	55735	DNAJC11	DNAJC11
ENSG00000228750	ENSG00000228750.7		LINC01672	LINC01672
ENSG00000284744	ENSG00000284744.1		AL591163.1	
ENSG00000237436	ENSG00000237436.1		CAMTA1-DT	CAMTA1-DT
ENSG00000171735	ENSG00000171735.19	23261	CAMTA1	CAMTA1
ENSG00000227950	ENSG00000227950.1		AL590128.1	
ENSG00000237365	ENSG00000237365.1		AL512330.1	
ENSG00000207056	ENSG00000207056.1		RNU1-8P	RNU1-8P
ENSG00000237402	ENSG00000237402.1		CAMTA1-IT1	CAMTA1-IT1
ENSG00000237728	ENSG00000237728.2	102725193	CAMTA1-AS2	CAMTA1-AS2
ENSG00000225126	ENSG00000225126.1		CAMTA1-AS1	CAMTA1-AS1
ENSG00000270171	ENSG00000270171.1		AL359881.3	
ENSG00000270035	ENSG00000270035.1		AL359881.2	
ENSG00000269978	ENSG00000269978.1		AL359881.1	
ENSG00000049245	ENSG00000049245.13	9341	VAMP3	VAMP3
ENSG00000269925	ENSG00000269925.1		Z98884.2	
ENSG00000049246	ENSG00000049246.14	8863	PER3	PER3
ENSG00000236266	ENSG00000236266.1		Z98884.1	
ENSG00000049247	ENSG00000049247.14	10911	UTS2	UTS2
ENSG00000049249	ENSG00000049249.9	3604	TNFRSF9	TNFRSF9
ENSG00000270330	ENSG00000270330.1		AL009183.1	
ENSG00000116288	ENSG00000116288.13	11315	PARK7	PARK7
ENSG00000200344	ENSG00000200344.1		Y_RNA	
ENSG00000284747	ENSG00000284747.1		AL034417.4	
ENSG00000284716	ENSG00000284716.1		AL034417.3	
ENSG00000116285	ENSG00000116285.13	54206	ERRFI1	ERRFI1
ENSG00000238290	ENSG00000238290.1		AL034417.2	
ENSG00000232848	ENSG00000232848.1		AL034417.1	
ENSG00000229305	ENSG00000229305.1		AL358876.1	
ENSG00000227634	ENSG00000227634.3	102724539	LINC01714	LINC01714
ENSG00000200975	ENSG00000200975.1		RNU1-7P	RNU1-7P
ENSG00000233645	ENSG00000233645.1		AL358876.2	
ENSG00000251977	ENSG00000251977.1		RNU6-991P	RNU6-991P
ENSG00000162426	ENSG00000162426.15	50651	SLC45A1	SLC45A1
ENSG00000252254	ENSG00000252254.1		AL356072.1	
ENSG00000142599	ENSG00000142599.19	473	RERE	RERE
ENSG00000232912	ENSG00000232912.6		RERE-AS1	RERE-AS1
ENSG00000221083	ENSG00000221083.1		AL096855.1	
ENSG00000270282	ENSG00000270282.1		AL096855.2	
ENSG00000234619	ENSG00000234619.1		RPL7P11	RPL7P11
ENSG00000224315	ENSG00000224315.2		RPL7P7	RPL7P7
ENSG00000222511	ENSG00000222511.2		Y_RNA	
ENSG00000226545	ENSG00000226545.1		AL357552.1	
ENSG00000228423	ENSG00000228423.2		AL357552.2	
ENSG00000229716	ENSG00000229716.2		RPL23AP19	RPL23AP19
ENSG00000074800	ENSG00000074800.16	2023	ENO1	ENO1
ENSG00000274258	ENSG00000274258.1	102465436	MIR6728	MIR6728
ENSG00000230679	ENSG00000230679.1	100505975	ENO1-AS1	ENO1-AS1
ENSG00000201725	ENSG00000201725.1		RNU6-304P	RNU6-304P
ENSG00000238249	ENSG00000238249.2		HMGN2P17	HMGN2P17
ENSG00000232208	ENSG00000232208.2		AL139415.1	
ENSG00000232663	ENSG00000232663.2		AL139415.2	
ENSG00000131686	ENSG00000131686.15	765	CA6	CA6
ENSG00000265141	ENSG00000265141.2		RN7SL451P	RN7SL451P
ENSG00000197241	ENSG00000197241.3	155184	SLC2A7	SLC2A7
ENSG00000142583	ENSG00000142583.18	6518	SLC2A5	SLC2A5
ENSG00000252404	ENSG00000252404.1		AL158048.1	
ENSG00000180758	ENSG00000180758.12	80045	GPR157	GPR157
ENSG00000228526	ENSG00000228526.7	106614088	MIR34AHG	MIR34AHG
ENSG00000284357	ENSG00000284357.1	407040	MIR34A	MIR34A
ENSG00000234546	ENSG00000234546.4	102724571	LNCTAM34A	LNCTAM34A
ENSG00000049239	ENSG00000049239.13	9563	H6PD	H6PD
ENSG00000171621	ENSG00000171621.14	80176	SPSB1	SPSB1
ENSG00000284652	ENSG00000284652.1		BX323043.1	
ENSG00000284693	ENSG00000284693.1	100506022	LINC02606	LINC02606
ENSG00000252956	ENSG00000252956.1		RNA5SP40	RNA5SP40
ENSG00000235263	ENSG00000235263.1		AL928921.1	
ENSG00000171612	ENSG00000171612.7	84275	SLC25A33	SLC25A33
ENSG00000231181	ENSG00000231181.1		AL954705.1	
ENSG00000188807	ENSG00000188807.13	199953	TMEM201	TMEM201
ENSG00000171608	ENSG00000171608.16	5293	PIK3CD	PIK3CD
ENSG00000179840	ENSG00000179840.5	644997	PIK3CD-AS1	PIK3CD-AS1
ENSG00000233268	ENSG00000233268.3		AL691449.1	
ENSG00000231789	ENSG00000231789.2	101929074	PIK3CD-AS2	PIK3CD-AS2
ENSG00000171603	ENSG00000171603.18	22883	CLSTN1	CLSTN1
ENSG00000271264	ENSG00000271264.1		MZT1P1	MZT1P1
ENSG00000280113	ENSG00000280113.2		AL357140.3	
ENSG00000178585	ENSG00000178585.15	56998	CTNNBIP1	CTNNBIP1
ENSG00000223989	ENSG00000223989.1		AL357140.1	
ENSG00000285701	ENSG00000285701.1		AL357140.4	
ENSG00000162441	ENSG00000162441.12	84328	LZIC	LZIC
ENSG00000228150	ENSG00000228150.1		AL357140.2	
ENSG00000173614	ENSG00000173614.14	64802	NMNAT1	NMNAT1
ENSG00000202415	ENSG00000202415.1		RN7SKP269	RN7SKP269
ENSG00000283611	ENSG00000283611.2	113391335	TMEM274P	TMEM274P
ENSG00000265521	ENSG00000265521.1	100847055	MIR5697	MIR5697
ENSG00000241326	ENSG00000241326.1		AL603962.1	
ENSG00000162444	ENSG00000162444.12	116362	RBP7	RBP7
ENSG00000130939	ENSG00000130939.20	10277	UBE4B	UBE4B
ENSG00000224340	ENSG00000224340.1		AL590639.1	
ENSG00000233623	ENSG00000233623.2		PGAM1P11	PGAM1P11
ENSG00000201746	ENSG00000201746.1		RNU6-828P	RNU6-828P
ENSG00000054523	ENSG00000054523.18	23095	KIF1B	KIF1B
ENSG00000264881	ENSG00000264881.1		AL358013.1	
ENSG00000199562	ENSG00000199562.1		RNU6-37P	RNU6-37P
ENSG00000264501	ENSG00000264501.2		RN7SL731P	RN7SL731P
ENSG00000284735	ENSG00000284735.1		AL139424.3	
ENSG00000284642	ENSG00000284642.1		AL139424.2	
ENSG00000142657	ENSG00000142657.21	5226	PGD	PGD
ENSG00000271989	ENSG00000271989.1		AL139424.1	
ENSG00000251503	ENSG00000251503.8	100526739	CENPS-CORT	CENPS-CORT
ENSG00000175279	ENSG00000175279.22	378708	CENPS	CENPS
ENSG00000241563	ENSG00000241563.4	1325	CORT	CORT
ENSG00000160049	ENSG00000160049.12	1676	DFFA	DFFA
ENSG00000203469	ENSG00000203469.2		AL354956.1	
ENSG00000142655	ENSG00000142655.13	5195	PEX14	PEX14
ENSG00000287727	ENSG00000287727.1		AL139423.2	
ENSG00000243267	ENSG00000243267.3		RN7SL614P	RN7SL614P
ENSG00000130940	ENSG00000130940.15	54897	CASZ1	CASZ1
ENSG00000272078	ENSG00000272078.1		AL139423.1	
ENSG00000225158	ENSG00000225158.2		HSPE1P24	HSPE1P24
ENSG00000175262	ENSG00000175262.14	148345	C1orf127	C1orf127
ENSG00000215785	ENSG00000215785.2		CFL1P6	CFL1P6
ENSG00000120948	ENSG00000120948.18	23435	TARDBP	TARDBP
ENSG00000277726	ENSG00000277726.4		AL109811.3	
ENSG00000009724	ENSG00000009724.17	10747	MASP2	MASP2
ENSG00000271895	ENSG00000271895.2		AL109811.2	
ENSG00000116649	ENSG00000116649.10	6723	SRM	SRM
ENSG00000171824	ENSG00000171824.14	5394	EXOSC10	EXOSC10
